Poster,Title,Year,Genre,Cast,Rating
"https://m.media-amazon.com/images/M/MV5BMTJmNGJmYTgtYjAxNy00YmMzLTk2YTYtMGIzMmUwNDMyMTY1XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY209_CR13,0,140,209_AL_.jpg",Where the Crawdads Sing,2023.0,"Drama, Mystery, Romance","Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, David Strathairn",7.2
"https://m.media-amazon.com/images/M/MV5BMDRkMDczOWYtZTkxYi00YzZkLTk0MzAtODA0ZTE3ODMwYjkxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY209_CR1,0,140,209_AL_.jpg",In a Violent Nature,2023.0,"Drama, Horror, Thriller","Ry Barrett, Andrea Pavlovic, Cameron Love, Reece Presley",5.7
"https://m.media-amazon.com/images/M/MV5BM2Q0ZmFjNjQtM2U4OC00YWViLWFhYTUtMmMwNmI2MDEwNmJmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX140_CR0,0,140,209_AL_.jpg",Unsung Hero,2023.0,"Drama, Family","Joel Smallbone, Daisy Betts, Joel Smallbone, Kirrilee Berger, Jonathan Jackson",7.8
"https://m.media-amazon.com/images/M/MV5BYzlhNzBmYjUtNjRmZC00MDg3LWE4NDMtZDNjODUwNTljMzhlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg",Rebel Moon - Part One: A Child of Fire,2023.0,"Action, Adventure, Drama","Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman",5.6
"https://m.media-amazon.com/images/M/MV5BNzI4ZTAwNzEtNTk5YS00ZWJmLWI1ODMtOTU4MTM5MzQ4OWM0XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_UY209_CR34,0,140,209_AL_.jpg",Purple Hearts,2023.0,"Drama, Music, Romance","Sofia Carson, Nicholas Galitzine, Chosen Jacobs, John Harlan Kim",6.7
"https://m.media-amazon.com/images/M/MV5BNzMzMDNhZWYtZDE4ZC00MTg5LWJiZWEtZjU2OGM2ZjMzM2I1XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Arthur the King,2023.0,"Adventure, Drama","Mark Wahlberg, Simu Liu, Juliet Rylance, Nathalie Emmanuel",7.0
"https://m.media-amazon.com/images/M/MV5BMTJiMmE5YWItOWZjYS00YTg0LWE0MTYtMzg2ZTY4YjNkNDEzXkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_UY209_CR13,0,140,209_AL_.jpg",X,2023.0,"Horror, Mystery, Thriller","Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi",6.5
"https://m.media-amazon.com/images/M/MV5BOTFhNzc2MGMtZGUwYi00ZWFjLThlOWEtNDdmYTQyZjc3NDQ4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg","Red, White & Royal Blue",2023.0,"Comedy, Romance","Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman, Jemma Redgrave",7.0
"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX140_CR0,0,140,209_AL_.jpg",The Shawshank Redemption,2023.0,Drama,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",9.3
"https://m.media-amazon.com/images/M/MV5BNmYyM2VhM2UtYmEzNi00M2RmLTkzYWQtZGQ5MjI2MzQzMWMyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Boy Kills World,2023.0,"Action, Crime, Thriller","Bill Skarsgård, Jessica Rothe, Michelle Dockery, Brett Gelman",6.7
"https://m.media-amazon.com/images/M/MV5BODExYTM0MzEtZGY2Yy00N2ExLTkwZjItNGYzYTRmMWZlOGEzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Twister,2023.0,"Action, Adventure, Thriller","Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz",6.5
"https://m.media-amazon.com/images/M/MV5BYWJkY2Q4NmYtOGRlMi00YTg5LWE2ZmQtY2NkYzk3YTRmNWZlXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_UY209_CR0,0,140,209_AL_.jpg",Madame Web,2023.0,"Action, Adventure, Sci-Fi","Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor",3.9
"https://m.media-amazon.com/images/M/MV5BNDVkZTM0NDAtNTQxMS00NWIyLTgyM2ItNjAxOTllYTAzNTVjXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UY209_CR0,0,140,209_AL_.jpg",The Strangers: Chapter 1,2023.0,Horror,"Madelaine Petsch, Ryan Bown, Matus Lajcak, Olivia Kreutzova",6.4
"https://m.media-amazon.com/images/M/MV5BMDBiYmRkNjUtYzc4My00NGFiLWE2NWUtMGU1ZDA1NTQ3ZjQwXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_UY209_CR1,0,140,209_AL_.jpg",Anatomie d'une chute,2023.0,"Crime, Drama, Thriller","Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz",7.7
